algorithm,sourceFile,nodeCount,calculationMillis,calculationPlusDrawMillis,drawOnlyMillis,width,height,area,aspectRatio,leafCount,straightLineMin,straightLineMax,straightLineAvg,pathLengthMin,pathLengthMax,pathLengthAvg
FLCD,Balanced_Tree_1k_2Node.txt,1000,19.2195,144.5745,125.3550,1370.0000,900.0000,1233000.0000,1.5222,500,11.1803,655.1336,369.1994,1273.7452,2125.2850,1690.9759
FLCD,Balanced_Tree_1k_3Node.txt,1000,25.8781,162.5825,136.7044,1455.8459,1399.6985,2037745.4042,1.0401,667,224.6158,748.8878,482.8014,934.6955,1727.5988,1278.0265
FLCD,Balanced_Tree_1k_4Node.txt,1000,14.7754,151.5569,136.7815,1380.0000,1020.0000,1407600.0000,1.3529,750,190.2630,673.1456,475.4716,453.7398,1433.6882,1093.6792
FLCD,Balanced_Tree_1k_5Node.txt,1000,14.8192,151.1472,136.3280,1762.6072,1301.7421,2294460.0283,1.3540,800,445.5544,1102.3946,653.7740,753.9874,1911.8872,1166.6891
FLCD,Balanced_Tree_1k_6Node.txt,1000,12.8929,131.9574,119.0645,1558.2368,1250.2147,1948130.5973,1.2464,833,169.8395,851.6493,664.6490,324.9128,1444.4372,1100.8395
FLCD,Balanced_Tree_1k_7Node.txt,1000,11.8506,142.0272,130.1766,1754.5675,1541.8252,2705236.4031,1.1380,857,264.7541,1410.2251,917.8375,434.9331,2198.5565,1370.6043
FLCD,Balanced_Tree_1k_8Node.txt,1000,12.9833,142.2908,129.3075,2172.3759,1080.0000,2346165.9726,2.0115,875,306.9396,1768.2923,968.3976,492.1447,2527.9203,1386.3705
FLCD,Balanced_Tree_1k_9Node.txt,1000,14.5743,150.5322,135.9579,1842.9435,1169.6732,2155641.6487,1.5756,889,430.9750,1264.1097,666.4233,631.2270,1803.5903,978.8876
FLCD,Balanced_Tree_1k_10Node.txt,1000,18.8346,146.0309,127.1963,1304.0819,1301.8283,1697690.6574,1.0017,900,251.4136,645.2718,552.3347,284.2424,943.5629,811.9311
FLCD,Balanced_Tree_1k_11Node.txt,1000,18.8665,153.5317,134.6652,1641.9997,1376.1625,2259658.4810,1.1932,909,328.6924,801.1909,699.6881,361.5680,1156.3742,973.8789
Reingold-Tilford,Balanced_Tree_1k_2Node.txt,1000,2.6981,127.8855,125.1874,7495.0000,235.0000,1761325.0000,31.8936,500,225.0239,3834.8875,1902.9916,3705.6818,3880.1023,3864.9379
Reingold-Tilford,Balanced_Tree_1k_3Node.txt,1000,2.6633,138.4439,135.7806,9985.0000,160.0000,1597600.0000,62.4063,667,150.0000,5327.1123,2521.9653,262.2953,5349.0453,3492.0580
Reingold-Tilford,Balanced_Tree_1k_4Node.txt,1000,1.8212,122.5730,120.7518,11230.0000,135.0000,1516050.0000,83.1852,750,125.0000,6331.2341,2862.6555,1246.4200,6345.6965,3857.0185
Reingold-Tilford,Balanced_Tree_1k_5Node.txt,1000,2.7255,124.7319,122.0064,11972.5000,135.0000,1616287.5000,88.6852,800,100.0176,6820.5205,3058.5117,538.7993,6831.1725,3822.0169
Reingold-Tilford,Balanced_Tree_1k_6Node.txt,1000,2.4159,143.4958,141.0799,12475.0000,110.0000,1372250.0000,113.4091,833,100.2809,6908.2238,3161.9605,1533.9975,6916.7445,4014.0036
Reingold-Tilford,Balanced_Tree_1k_7Node.txt,1000,1.7257,134.6252,132.8995,12820.0000,110.0000,1410200.0000,116.5455,857,100.2809,7508.1660,3300.6928,584.9504,7515.1736,4079.8749
Reingold-Tilford,Balanced_Tree_1k_8Node.txt,1000,1.7934,127.5144,125.7210,13075.0000,110.0000,1438250.0000,118.8636,875,75.3741,7988.1260,3428.9020,287.6968,7994.0672,4373.2003
Reingold-Tilford,Balanced_Tree_1k_9Node.txt,1000,2.1681,135.6184,133.4503,13270.0000,110.0000,1459700.0000,120.6364,889,75.0000,7350.6802,3366.2519,500.6939,7355.8542,3850.2865
Reingold-Tilford,Balanced_Tree_1k_10Node.txt,1000,2.5108,124.0263,121.5155,13435.0000,85.0000,1141975.0000,158.0588,900,75.0000,7050.3989,3383.6381,413.6723,7054.9932,3782.6032
Reingold-Tilford,Balanced_Tree_1k_11Node.txt,1000,1.6409,94.9829,93.3420,13570.0000,85.0000,1153450.0000,159.6471,909,75.3741,7192.8910,3419.0469,897.8687,7196.9853,3892.1218
