algorithm,sourceFile,nodeCount,calculationMillis,calculationPlusDrawMillis,drawOnlyMillis,width,height,area,aspectRatio,leafCount,straightLineMin,straightLineMax,straightLineAvg,pathLengthMin,pathLengthMax,pathLengthAvg
FLCD,Balanced_Tree_1k_2Node.txt,1000,28.1558,163.6678,135.5120,1370.0000,900.0000,1233000.0000,1.5222,500,11.1803,655.1336,369.1994,1273.7452,2125.2850,1690.9759
FLCD,Balanced_Tree_1k_3Node.txt,1000,0.2877,39.3288,39.0411,1455.8459,1399.6985,2037745.4042,1.0401,667,15.2753,748.8878,470.3707,779.0068,1844.9905,1298.8947
FLCD,Balanced_Tree_1k_4Node.txt,1000,0.3533,40.6044,40.2511,1380.0000,1020.0000,1407600.0000,1.3529,750,19.7844,681.7808,461.0706,453.7398,1575.4818,1114.4234
FLCD,Balanced_Tree_1k_5Node.txt,1000,0.2082,53.7623,53.5541,1762.6072,1301.7421,2294460.0283,1.3540,800,24.4124,1083.4038,609.0737,753.9874,2397.2883,1241.0512
FLCD,Balanced_Tree_1k_6Node.txt,1000,0.9111,38.5677,37.6566,1558.2368,1250.2147,1948130.5973,1.2464,833,29.0931,851.6493,615.4245,324.9128,1745.1791,1148.6399
FLCD,Balanced_Tree_1k_7Node.txt,1000,0.7645,38.2948,37.5303,1754.5675,1541.8252,2705236.4031,1.1380,857,33.8021,1410.2251,850.7481,434.9331,2812.4715,1435.9988
FLCD,Balanced_Tree_1k_8Node.txt,1000,0.8090,46.0020,45.1930,2172.3759,1080.0000,2346165.9726,2.0115,875,38.5281,1768.2923,905.7393,492.1447,3540.2436,1450.1513
FLCD,Balanced_Tree_1k_9Node.txt,1000,1.3492,47.9732,46.6240,1842.9435,1169.6732,2155641.6487,1.5756,889,43.2653,1245.8029,627.3875,631.2270,2616.9323,1024.3174
FLCD,Balanced_Tree_1k_10Node.txt,1000,1.4924,47.7095,46.2171,1304.0819,1301.8283,1697690.6574,1.0017,900,48.0102,630.5867,526.1997,337.8038,1261.4717,838.8137
FLCD,Balanced_Tree_1k_11Node.txt,1000,1.0906,38.2777,37.1871,1641.9997,1376.1625,2259658.4810,1.1932,909,52.7605,801.1909,659.9273,435.9707,1592.6052,1013.9544
